cod_5;nome_5;descr_5
1.1.2.4.1;Direttori generali, dipartimentali ed equiparati delle amministrazioni dello Stato, degli enti pubblici non economici e degli enti locali;Le professioni classificate in questa unità dirigono grandi strutture dell’amministrazione statale e locale, degli enti pubblici non economici e degli enti locali, formulano proposte e pareri agli organi cui fanno riferimento, curano l’attuazione dei programmi e delle politiche adottando e definendo le modalità organizzative e le risorse necessarie alla loro realizzazione, esercitando poteri di spesa e attribuendo ai dirigenti subordinati le responsabilità di progetti nonché le risorse necessarie a realizzarli, verificandone e controllandone le attività rispetto agli obiettivi fissati e mantenendo la responsabilità della gestione e dei risultati raggiunti.
1.1.2.4.2;Rettori di università, direttori di istituzioni dell’Alta Formazione e di enti di ricerca;Le professioni classificate in questa unità dirigono università pubbliche e private, istituzioni dell'Alta Formazione Artistica, Musicale e Coreutica riconosciute, che rilasciano titoli di livello universitario ed enti di ricerca, formulano proposte e pareri agli organi cui fanno riferimento, curano l’attuazione dei programmi e delle politiche adottando e definendo le modalità organizzative e le risorse necessarie alla loro realizzazione, esercitando poteri di spesa e attribuendo ai dirigenti subordinati le responsabilità di progetti nonché le risorse necessarie a realizzarli, verificandone e controllandone le attività rispetto agli obiettivi fissati e mantenendo la responsabilità della gestione e dei risultati raggiunti.
1.1.2.4.3;Direttori generali ed equiparati nella sanità;Le professioni classificate in questa unità dirigono grandi strutture del Servizio Sanitario Nazionale, formulano proposte e pareri agli organi cui fanno riferimento, curano l’attuazione dei programmi e delle politiche adottando e definendo le modalità organizzative e le risorse necessarie alla loro realizzazione, esercitando poteri di spesa e attribuendo ai dirigenti subordinati le responsabilità di progetti nonchè le risorse necessarie a realizzarli, verificandone e controllandone le attività rispetto agli obiettivi fissati e mantenendo la responsabilità della gestione e dei risultati raggiunti.
1.1.2.5.0;Dirigenti scolastici ed equiparati;"Le professioni comprese in questa unità dirigono, coordinano e organizzano l'attività delle istituzioni scolastiche di ogni ordine e grado, pubbliche e private riconosciute, assicurano e sono responsabili della gestione delle risorse finanziarie e strumentali dell'istituzione scolastica, ne hanno la rappresentanza legale. Valorizzano le risorse umane, promuovono interventi e attività per assicurare la qualità dei processi formativi e la collaborazione delle risorse culturali, professionali, sociali ed economiche del territorio; garantiscono l'esercizio della libertà di insegnamento e di innovazione metodologica e didattica, la scelta educativa delle famiglie e l'attuazione del diritto all'apprendimento da parte degli alunni. Coinvolgono il personale docente e gli organi collegiali nelle decisioni in materia di organizzazione delle attività scolastiche, di didattica ed offerta formativa"
1.1.2.6.1;Dirigenti ed equiparati delle amministrazioni dello Stato, degli enti pubblici non economici e degli enti locali;Le professioni classificate in questa unità dirigono articolazioni funzionali dell’amministrazione statale e locale, degli enti pubblici non economici e degli enti locali, formulano proposte e pareri ai direttori generali o dipartimentali da cui dipendono, curano l’attuazione dei progetti loro affidati adottando e definendo, nei limiti di competenza, le modalità organizzative e le risorse necessarie alla loro realizzazione, esercitando i poteri di spesa loro attribuiti, coordinando le attività degli uffici loro subordinati, individuando i responsabili delle procedure affidate al proprio ufficio e verificando e controllando le attività complessive dell’ufficio rispetto agli obiettivi fissati. Sono responsabili della gestione e dei risultati raggiunti.
1.1.2.6.2;Dirigenti ed equiparati delle università e degli enti di ricerca;Le professioni classificate in questa unità dirigono articolazioni funzionali delle università e degli enti di ricerca, formulano proposte e pareri ai direttori generali o dipartimentali da cui dipendono, curano l’attuazione dei progetti loro affidati adottando e definendo, nei limiti di competenza, le modalità organizzative e le risorse necessarie alla loro realizzazione, esercitando i poteri di spesa loro attribuiti, coordinando le attività degli uffici loro subordinati, individuando i responsabili delle procedure affidate al proprio ufficio e verificando e controllando le attività complessive dell’ufficio rispetto agli obiettivi fissati. Sono responsabili della gestione e dei risultati raggiunti.
1.1.2.6.3;Dirigenti ed equiparati nella sanità;Le professioni classificate in questa unità dirigono articolazioni funzionali del Servizio Sanitario Nazionale, formulano proposte e pareri ai direttori generali o dipartimentali da cui dipendono, curano l’attuazione dei progetti loro affidati adottando e definendo, nei limiti di competenza, le modalità organizzative e le risorse necessarie alla loro realizzazione, esercitando i poteri di spesa loro attribuiti, coordinando le attività degli uffici loro subordinati, individuando i responsabili delle procedure affidate al proprio ufficio e verificando e controllando le attività complessive dell’ufficio rispetto agli obiettivi fissati. Sono responsabili della gestione e dei risultati raggiunti.
1.1.3.1.0;Dirigenti della magistratura ordinaria;Le professioni classificate in questa unità presiedono, dirigono e organizzano gli uffici giudiziari e le sezioni del Tribunale Ordinario, ne coordinano le attività, distribuiscono il lavoro fra i giudici, vigilano sulla loro attività e su quelle dei servizi ausiliari, curano e garantiscono lo scambio di informazioni giurisprudenziali.
1.1.3.2.0;Dirigenti della magistratura amministrativa e delle giurisdizioni speciali;Le professioni classificate in questa unità presiedono, dirigono e organizzano i rispettivi uffici giudiziari, le sezioni dei Tribunali Amministrativi Regionali, della Corte costituzionale, della Corte dei Conti e del Consiglio di Stato, ne coordinano le attività, distribuiscono il lavoro fra i giudici, vigilano sulla loro attività e su quelle dei servizi ausiliari, curano e garantiscono lo scambio di informazioni giurisprudenziali.
1.1.4.1.1;Dirigenti di partiti e movimenti politici;"Le professioni classificate in questa unità definiscono, promuovono, dirigono e attuano le politiche e le strategie dei partiti e movimenti politici; organizzano campagne elettorali e di propaganda."
1.1.4.1.2;Dirigenti di sindacati e altre organizzazioni a tutela di interessi economici e sociali;"Le professioni classificate in questa unità definiscono, promuovono, dirigono e attuano le politiche e le strategie delle organizzazioni sindacali ovvero di altre associazioni che tutelano gli interessi economici dei cittadini, di categorie economiche o sociali; rappresentano le suddette organizzazioni o associazioni nei confronti di parti terze e agiscono per loro conto; organizzano campagne di promozione delle finalità associative nonché il reclutamento e la formazione degli associati."
1.1.4.2.0;Dirigenti di associazioni umanitarie, culturali, scientifiche e sportive di interesse nazionale o sovranazionale;"Le professioni classificate in questa unità definiscono, promuovono, dirigono e attuano le politiche e le strategie delle organizzazioni di cui fanno parte; le rappresentano nei confronti di parti terze e agiscono per loro conto; organizzano campagne di promozione delle finalità associative nonché il reclutamento e la formazione degli associati."
1.2.1.1.0;Imprenditori e amministratori di grandi aziende che operano nell'agricoltura, nell'allevamento, nella silvicoltura, nella caccia e nella pesca;Le professioni classificate in questa unità guidano imprese o organizzazioni che operano nel settore economico dell’agricoltura, silvicoltura e pesca, classificato sotto la Sezione A della Classificazione delle attività economiche, direttamente come proprietari o per conto della proprietà, le rappresentano nei confronti di terze parti e, con il supporto di uno o più direttori che coordinano strutture dirigenziali, ne definiscono, pianificano, dirigono e coordinano le politiche, le strategie produttive e le attività, generalmente seguendo le direttive di un consiglio di amministrazione o di direzione a cui rispondono per le decisioni prese e i risultati ottenuti.
1.2.1.2.0;Imprenditori e amministratori di grandi aziende che operano nell'estrazione dei minerali, nella manifattura, nella produzione e distribuzione di energia elettrica, gas e acqua e nella gestione dei rifiuti;Le professioni classificate in questa unità guidano imprese o organizzazioni che operano nei settori economici delle attività estrattive, manifatturiere, della fornitura di energia elettrica, gas, vapore e aria condizionata, della fornitura di acqua delle reti fognarie e delle attività di trattamento dei rifiuti e risanamento, classificati rispettivamente sotto le Sezioni B, C, D ed E della Classificazione delle attività economiche, direttamente come proprietari o per conto della proprietà, le rappresentano nei confronti di terze parti e, con il supporto di uno o più direttori che coordinano strutture dirigenziali, ne definiscono, pianificano, dirigono e coordinano le politiche, le strategie produttive e le attività, generalmente seguendo le direttive di un consiglio di amministrazione o di direzione a cui rispondono per le decisioni prese e i risultati ottenuti.
1.2.1.3.0;Imprenditori e amministratori di grandi aziende di costruzioni;Le professioni classificate in questa unità guidano imprese o organizzazioni che operano nel settore economico delle costruzioni, classificato sotto la Sezione F della Classificazione delle attività economiche, direttamente come proprietari o per conto della proprietà, le rappresentano nei confronti di terze parti e, con il supporto di uno o più direttori che coordinano strutture dirigenziali, ne definiscono, pianificano, dirigono e coordinano le politiche, le strategie produttive e le attività, generalmente seguendo le direttive di un consiglio di amministrazione o di direzione a cui rispondono per le decisioni prese e i risultati ottenuti.
1.2.1.4.0;Imprenditori e amministratori di grandi aziende nel commercio;Le professioni classificate in questa unità guidano imprese o organizzazioni che operano nel settore economico del commercio all’ingrosso e al dettaglio e della riparazione di autoveicoli e motocicli, classificato sotto la Sezione G della Classificazione delle attività economiche, direttamente come proprietari o per conto della proprietà, le rappresentano nei confronti di terze parti e, con il supporto di uno o più direttori che coordinano strutture dirigenziali, ne definiscono, pianificano, dirigono e coordinano le politiche, le strategie produttive e le attività, generalmente seguendo le direttive di un consiglio di amministrazione o di direzione a cui rispondono per le decisioni prese e i risultati ottenuti.
1.2.1.5.0;Imprenditori e amministratori di grandi aziende nei servizi di alloggio e ristorazione;Le professioni classificate in questa unità guidano imprese o organizzazioni che operano nel settore economico dei servizi di alloggio e ristorazione, classificato sotto la Sezione I della Classificazione delle attività economiche, direttamente come proprietari o per conto della proprietà, le rappresentano nei confronti di terze parti e, con il supporto di uno o più direttori che coordinano strutture dirigenziali, ne definiscono, pianificano, dirigono e coordinano le politiche, le strategie produttive e le attività, generalmente seguendo le direttive di un consiglio di amministrazione o di direzione a cui rispondono per le decisioni prese e i risultati ottenuti.
1.2.1.6.1;Imprenditori e amministratori di grandi aziende nel settore dei trasporti e magazzinaggio;Le professioni classificate in questa unità guidano imprese o organizzazioni che operano nel settore economico dei trasporti e del magazzinaggio, classificato nella Sezione H della Classificazione delle attività economiche, direttamente come proprietari o per conto della proprietà, le rappresentano nei confronti di terze parti e, con il supporto di uno o più direttori che coordinano strutture dirigenziali, ne definiscono, pianificano, dirigono e coordinano le politiche, le strategie produttive e le attività, generalmente seguendo le direttive di un consiglio di amministrazione o di direzione a cui rispondono per le decisioni prese e i risultati ottenuti.
1.2.1.6.2;Imprenditori e amministratori di grandi aziende nei servizi editoriali, di produzione cinematografica, radiofonica e televisiva;Le professioni classificate in questa unità guidano imprese o organizzazioni che operano nelle attività editoriali, di produzione cinematografica, di video e di programmi televisivi, di registrazioni musicali e sonore, e delle attività di programmazione e trasmissione, classificate rispettivamente nelle Divisioni 58, 59 e 60 della Classificazione delle attività economiche, direttamente come proprietari o per conto della proprietà, le rappresentano nei confronti di terze parti e, con il supporto di uno o più direttori che coordinano strutture dirigenziali, ne definiscono, pianificano, dirigono e coordinano le politiche, le strategie produttive e le attività, generalmente seguendo le direttive di un consiglio di amministrazione o di direzione a cui rispondono per le decisioni prese e i risultati ottenuti.
1.2.1.6.3;Imprenditori e amministratori di grandi aziende nei servizi informatici e di telecomunicazione;Le professioni classificate in questa unità guidano imprese o organizzazioni che operano nelle telecomunicazioni, nella produzione di software, nella consulenza informatica e attività connesse e nelle attività dei servizi di informazione e altri servizi informatici, classificati rispettivamente nelle Divisioni 61, 62 e 63 della Classificazione delle attività economiche, direttamente come proprietari o per conto della proprietà, le rappresentano nei confronti di terze parti e, con il supporto di uno o più direttori che coordinano strutture dirigenziali, ne definiscono, pianificano, dirigono e coordinano le politiche, le strategie produttive e le attività, generalmente seguendo le direttive di un consiglio di amministrazione o di direzione a cui rispondono per le decisioni prese e i risultati ottenuti.
1.2.1.7.0;Imprenditori e amministratori di grandi banche, assicurazioni, agenzie immobiliari, di intermediazione finanziaria;Le professioni classificate in questa unità guidano imprese o organizzazioni che operano nei settori economici delle attività finanziarie, assicurative e immobiliari, classificati rispettivamente sotto le Sezioni K e L della Classificazione delle attività economiche, direttamente come proprietari o per conto della proprietà, le rappresentano nei confronti di terze parti e, con il supporto di uno o più direttori che coordinano strutture dirigenziali, ne definiscono, pianificano, dirigono e coordinano le politiche, le strategie produttive e le attività, generalmente seguendo le direttive di un consiglio di amministrazione o di direzione a cui rispondono per le decisioni prese e i risultati ottenuti.
1.2.1.8.0;Imprenditori e amministratori di grandi aziende nei servizi alle imprese e alle persone;Le professioni classificate in questa unità guidano imprese o organizzazioni che operano nei settori economici delle attività professionali, scientifiche e tecniche, delle attività amministrative e di servizi di supporto e delle altre attività di servizi, classificati rispettivamente sotto le Sezioni M, N e S della Classificazione delle attività economiche, direttamente come proprietari o per conto della proprietà, le rappresentano nei confronti di terze parti e, con il supporto di uno o più direttori che coordinano strutture dirigenziali, ne definiscono, pianificano, dirigono e coordinano le politiche, le strategie produttive e le attività, generalmente seguendo le direttive di un consiglio di amministrazione o di direzione a cui rispondono per le decisioni prese e i risultati ottenuti.
1.2.1.9.1;Imprenditori e amministratori di grandi istituti scolastici, universitari e di ricerca privati;Le professioni classificate in questa unità guidano imprese o organizzazioni private che operano nel settore economico dell’istruzione, classificato sotto la Sezione P della Classificazione delle attività economiche, direttamente come proprietari o per conto della proprietà, le rappresentano nei confronti di terze parti e, con il supporto di uno o più direttori che coordinano strutture dirigenziali, ne definiscono, pianificano, dirigono e coordinano le politiche, le strategie produttive e le attività, generalmente seguendo le direttive di un consiglio di amministrazione o di direzione a cui rispondono per le decisioni prese e i risultati ottenuti.
1.2.1.9.2;Imprenditori e amministratori di grandi ospedali, cliniche private o grandi aziende di assistenza sociale;Le professioni classificate in questa unità guidano imprese o organizzazioni private che operano nel settore economico della sanità e dell’assistenza sociale, classificato sotto la Sezione Q della Classificazione delle attività economiche, direttamente come proprietari o per conto della proprietà, le rappresentano nei confronti di terze parti e, con il supporto di uno o più direttori che coordinano strutture dirigenziali, ne definiscono, pianificano, dirigono e coordinano le politiche, le strategie produttive e le attività, generalmente seguendo le direttive di un consiglio di amministrazione o di direzione a cui rispondono per le decisioni prese e i risultati ottenuti.
1.2.1.9.3;Imprenditori e amministratori di grandi aziende nel settore delle attività sportive, ricreative, di intrattenimento e di divertimento;Le professioni classificate in questa unità guidano imprese o organizzazioni che operano nel settore economico delle attività sportive, ricreative, di intrattenimento e di divertimento, classificato sotto la Sezione R della Classificazione delle attività economiche, direttamente come proprietari o per conto della proprietà, le rappresentano nei confronti di terze parti e, con il supporto di uno o più direttori che coordinano strutture dirigenziali, ne definiscono, pianificano, dirigono e coordinano le politiche, le strategie produttive e le attività, generalmente seguendo le direttive di un consiglio di amministrazione o di direzione a cui rispondono per le decisioni prese e i risultati ottenuti.
1.2.2.1.0;Direttori e dirigenti generali di aziende che operano nell'agricoltura, nell'allevamento, nella silvicoltura, nella caccia e nella pesca;Le professioni classificate in questa unità, nell'ambito delle imprese o organizzazioni che operano nel settore economico dell’agricoltura, silvicoltura e pesca, classificato sotto la Sezione A della Classificazione delle attività economiche, programmano, dirigono e coordinano le attività inerenti la produzione di beni e di servizi dell’impresa o dell’organizzazione in cui operano e assicurano l’utilizzazione efficiente delle risorse a disposizione e il raggiungimento degli obiettivi produttivi prefissati. Generalmente tali attività vengono esercitate in ottemperanza delle direttive degli organi decisionali dell’impresa o dell’organizzazione a cui rispondono per le decisioni prese e i risultati ottenuti, in collaborazione con le altre direzioni in cui l’impresa o l’organizzazione è strutturata.
1.2.2.2.0;Direttori e dirigenti generali di aziende che operano nella manifattura, nell'estrazione dei minerali, nella produzione e distribuzione di energia elettrica, gas, acqua e nelle attività di gestione dei rifiuti;Le professioni classificate in questa unità, nell'ambito delle imprese o organizzazioni che operano nei settori economici delle attività estrattive, manifatturiere, della fornitura di energia elettrica, gas, vapore e aria condizionata, della fornitura di acqua delle reti fognarie e delle attività di trattamento dei rifiuti e risanamento, classificati rispettivamente sotto le Sezioni B, C, D ed E della Classificazione delle attività economiche, programmano, dirigono e coordinano le attività inerenti la produzione di beni e di servizi dell’impresa o dell’organizzazione in cui operano e assicurano l’utilizzazione efficiente delle risorse a disposizione e il raggiungimento degli obiettivi produttivi prefissati. Generalmente tali attività vengono esercitate in ottemperanza delle direttive degli organi decisionali dell’impresa o dell’organizzazione a cui rispondono per le decisioni prese e i risultati ottenuti, in collaborazione con le altre direzioni in cui l’impresa o l’organizzazione è strutturata.
1.2.2.3.0;Direttori e dirigenti generali di aziende nelle costruzioni;Le professioni classificate in questa unità, nell'ambito delle imprese o organizzazioni che operano nel settore economico delle costruzioni, classificato sotto la Sezione F della Classificazione delle attività economiche, programmano, dirigono e coordinano le attività inerenti la produzione di beni e di servizi dell’impresa o dell’organizzazione in cui operano e assicurano l’utilizzazione efficiente delle risorse a disposizione e il raggiungimento degli obiettivi produttivi prefissati. Generalmente tali attività vengono esercitate in ottemperanza delle direttive degli organi decisionali dell’impresa o dell’organizzazione a cui rispondono per le decisioni prese e i risultati ottenuti, in collaborazione con le altre direzioni in cui l’impresa o l’organizzazione è strutturata.
1.2.2.4.0;Direttori e dirigenti generali di aziende nel commercio;Le professioni classificate in questa unità, nell'ambito delle imprese o organizzazioni che operano nel settore economico del commercio all’ingrosso e al dettaglio e della riparazione di autoveicoli e motocicli, classificato sotto la Sezione G della Classificazione delle attività economiche, programmano, dirigono e coordinano le attività inerenti la produzione di servizi dell’impresa o dell’organizzazione in cui operano e assicurano l’utilizzazione efficiente delle risorse a disposizione e il raggiungimento degli obiettivi produttivi prefissati. Generalmente tali attività vengono esercitate in ottemperanza delle direttive degli organi decisionali dell’impresa o dell’organizzazione a cui rispondono per le decisioni prese e i risultati ottenuti, in collaborazione con le altre direzioni in cui l’impresa o l’organizzazione è strutturata.
1.2.2.5.0;Direttori e dirigenti generali di aziende nel settore dei servizi di alloggio e ristorazione;Le professioni classificate in questa unità, nell'ambito delle imprese o organizzazioni che operano nel settore economico dei servizi di alloggio e ristorazione, classificato sotto la Sezione I della Classificazione delle attività economiche, programmano, dirigono e coordinano le attività inerenti la produzione di beni e di servizi dell’impresa o dell’organizzazione in cui operano e assicurano l’utilizzazione efficiente delle risorse a disposizione e il raggiungimento degli obiettivi produttivi prefissati. Generalmente tali attività vengono esercitate in ottemperanza delle direttive degli organi decisionali dell’impresa o dell’organizzazione a cui rispondono per le decisioni prese e i risultati ottenuti, in collaborazione con le altre direzioni in cui l’impresa o l’organizzazione è strutturata.
1.2.2.6.1;Direttori e dirigenti generali di aziende nel settore dei trasporti e magazzinaggio;Le professioni classificate in questa unità, nell'ambito delle imprese o organizzazioni che operano nel settore economico dei trasporti e del magazzinaggio, classificato sotto la Sezione H della Classificazione delle attività economiche programmano, dirigono e coordinano le attività inerenti la produzione di beni e di servizi dell’impresa o dell’organizzazione in cui operano e assicurano l’utilizzazione efficiente delle risorse a disposizione e il raggiungimento degli obiettivi produttivi prefissati. Generalmente tali attività vengono esercitate in ottemperanza delle direttive degli organi decisionali dell’impresa o dell’organizzazione a cui rispondono per le decisioni prese e i risultati ottenuti, in collaborazione con le altre direzioni in cui l’impresa o l’organizzazione è strutturata.
1.2.2.6.2;Direttori e dirigenti generali di aziende nei servizi editoriali, di produzione cinematografica, radiofonica e televisiva;Le professioni classificate in questa unità, nell'ambito delle imprese o organizzazioni che operano nelle attività editoriali, di produzione cinematografica, di video e di programmi televisivi, di registrazioni musicali e sonore, e delle attività di programmazione e trasmissione, classificate rispettivamente nelle Divisioni 58, 59 e 60 della Classificazione delle attività economiche, programmano, dirigono e coordinano le attività inerenti la produzione di beni e di servizi dell’impresa o dell’organizzazione in cui operano e assicurano l’utilizzazione efficiente delle risorse a disposizione e il raggiungimento degli obiettivi produttivi prefissati. Generalmente tali attività vengono esercitate in ottemperanza delle direttive degli organi decisionali dell’impresa o dell’organizzazione a cui rispondono per le decisioni prese e i risultati ottenuti, in collaborazione con le altre direzioni in cui l’impresa o l’organizzazione è strutturata.
1.2.2.6.3;Direttori e dirigenti generali di aziende nei servizi informatici e di telecomunicazione;Le professioni classificate in questa unità, nell'ambito delle imprese o organizzazioni che operano nelle telecomunicazioni, nella produzione di software, nella consulenza informatica e attività connesse e nelle attività dei servizi di informazione e altri servizi informatici, classificate rispettivamente nelle Divisioni 61, 62 e 63 della Classificazione delle attività economiche, programmano, dirigono e coordinano le attività inerenti la produzione di beni e di servizi dell’impresa o dell’organizzazione in cui operano e assicurano l’utilizzazione efficiente delle risorse a disposizione e il raggiungimento degli obiettivi produttivi prefissati. Generalmente tali attività vengono esercitate in ottemperanza delle direttive degli organi decisionali dell’impresa o dell’organizzazione a cui rispondono per le decisioni prese e i risultati ottenuti, in collaborazione con le altre direzioni in cui l’impresa o l’organizzazione è strutturata.
1.2.2.7.0;Direttori e dirigenti generali di banche, assicurazioni, agenzie immobiliari e di intermediazione finanziaria;Le professioni classificate in questa unità, nell'ambito delle imprese o organizzazioni che operano nel settore economico delle attività finanziarie, assicurative e immobiliari, classificato sotto le Sezioni K e L della Classificazione delle attività economiche, programmano, dirigono e coordinano le attività inerenti la produzione di servizi dell’impresa o dell’organizzazione in cui operano e assicurano l’utilizzazione efficiente delle risorse a disposizione e il raggiungimento degli obiettivi produttivi prefissati. Generalmente tali attività vengono esercitate in ottemperanza delle direttive degli organi decisionali dell’impresa o dell’organizzazione a cui rispondono per le decisioni prese e i risultati ottenuti, in collaborazione con le altre direzioni in cui l’impresa o l’organizzazione è strutturata.
1.2.2.8.0;Direttori e dirigenti generali di aziende di servizi alle imprese e alle persone;Le professioni classificate in questa unità, nell'ambito delle imprese o organizzazioni che operano nei settori economici delle attività professionali, scientifiche e tecniche, delle attività amministrative e di servizi di supporto e delle altre attività di servizi, classificati rispettivamente sotto le Sezioni M, N e S della Classificazione delle attività economiche, programmano, dirigono e coordinano le attività inerenti la produzione di beni e di servizi dell’impresa o dell’organizzazione in cui operano e assicurano l’utilizzazione efficiente delle risorse a disposizione e il raggiungimento degli obiettivi produttivi prefissati. Generalmente tali attività vengono esercitate in ottemperanza delle direttive degli organi decisionali dell’impresa o dell’organizzazione a cui rispondono per le decisioni prese e i risultati ottenuti, in collaborazione con le altre direzioni in cui l’impresa o l’organizzazione è strutturata.
1.2.2.9.0;Direttori e dirigenti generali di aziende nel settore delle attività sportive, ricreative, di intrattenimento e divertimento;Le professioni classificate in questa unità, nell'ambito delle imprese o organizzazioni che operano nel settore economico delle attività artistiche, sportive, di intrattenimento e di divertimento classificati sotto la Sezione R della Classificazione delle attività economiche, programmano, dirigono e coordinano le attività inerenti la produzione di beni e di servizi dell’impresa o dell’organizzazione in cui operano e assicurano l’utilizzazione efficiente delle risorse a disposizione e il raggiungimento degli obiettivi produttivi prefissati. Generalmente tali attività vengono esercitate in ottemperanza delle direttive degli organi decisionali dell’impresa o dell’organizzazione a cui rispondono per le decisioni prese e i risultati ottenuti, in collaborazione con le altre direzioni in cui l’impresa o l’organizzazione è strutturata.
1.2.3.1.0;Direttori e dirigenti del dipartimento finanza ed amministrazione;Le professioni classificate in questa unità programmano, dirigono e coordinano l’amministrazione interna e/o le operazioni finanziarie, definiscono le procedure amministrative, verificano e controllano la spesa e l’uso adeguato delle risorse.
1.2.3.2.0;Direttori e dirigenti del dipartimento organizzazione, gestione delle risorse umane e delle relazioni industriali;"Le professioni classificate in questa unità definiscono, dirigono e coordinano le politiche relative al personale e alle relazioni sindacali, i programmi di reclutamento e di formazione del personale, la struttura salariale, i percorsi di carriera; sovrintendono all’applicazione dei criteri di sicurezza e di salvaguardia della salute dei lavoratori."
1.2.3.3.0;Direttori e dirigenti del dipartimento vendite e commercializzazione;"Le professioni classificate in questa unità definiscono, dirigono e coordinano le strategie di vendita, di commercializzazione e di distribuzione dei beni o dei servizi prodotti; ne definiscono i prezzi di mercato, gli sconti, le promozioni e gli incentivi da applicare."
1.2.3.4.0;Direttori e dirigenti del dipartimento comunicazione, pubblicità e pubbliche relazioni;Le professioni classificate in questa unità definiscono, dirigono e coordinano le strategie di comunicazione e pubblicitarie, ne negoziano i costi di diffusione, curano l’immagine dell’impresa presso cui operano definendo e gestendo programmi di informazione diretti al pubblico o a particolari corpi sociali, programmi di sostegno ad attività benefiche, culturali, sportive e ad organizzazioni umanitarie.
1.2.3.5.0;Direttori e dirigenti del dipartimento approvvigionamento e distribuzione;"Le professioni classificate in questa unità pianificano, dirigono e coordinano gli approvvigionamenti, il magazzino scorte e la logistica interna dei materiali e delle attrezzature necessarie al funzionamento dell’impresa in cui operano; individuano i sistemi di inventario e di controllo dei consumi; definiscono le procedure e negoziano gli acquisti con i fornitori, assicurandone la qualità."
1.2.3.6.0;Direttori e dirigenti del dipartimento servizi informatici;"Le professioni classificate in questa unità sovrintendono al corretto funzionamento dei sistemi e dei servizi informatici; ne pianificano, dirigono e coordinano l’acquisto, l’installazione, l’aggiornamento e la manutenzione; definiscono le priorità e i modi dell’informatizzazione delle procedure e delle attività dell'impresa, sovrintendono al rispetto delle norme sul trattamento delle informazioni in materia di sicurezza e di tutela dei dati personali."
